Trope Name,Trope Description,Text Length
Parrot Exposition,Naomi I also put some nootropics in there Snake Say what Naomi Nootropics Its a class of drugs which will help improve your mental functioning Snake Itll make me smarter huh — Metal Gear Solid in a typical demonstrationDescribe Parrot Exposition hereYou want me to describe Parrot Exposition here huhA type of exposition in which one character repeats another pressing them on something they just said Sometimes this happens repeatedly making one of them look pretty knowledgeable and the other pretty clueless Or it can be simply annoyingThis can easily be Truth in Television Sometimes you just want a bit more detail or to verify if someones saying what you think they are Its also worth noting that Japanese the language that many examples are translated from does this a lot as a mechanic of the conversational languageOften done by The Watson Compare Repeating So the Audience Can Hear for when we cant hear the other side of the conversation Repeat to Confirm when its considered SOP to repeat a set of instructions while executing them and Parrot ExpoWHAT where the exposition is so shocking sesquipedalian or obscure that the other party cant repeat it,1161
At the Opera Tonight,Going to see and be seenYou dont know how refreshing this is To meet someone who doesnt just come to the theater but who gives over to it That crowd in there they only come because its fashionable— Sir Trevor Aimsley FrasierBasically where characters are attending an Opera Classical Music concert Theater show or a similar performance to take in some high culture Yet this is mainly about what the characters do in the velvet seats in the posh auditorium What happens on stage is usually irrelevant even though we do usually get to see a little of the opera or concert If what is being performed matters at all its to give the attending characters something to emotionally relate to If the story features characters involved with the actual production in an important way such as the main character finally getting the big part heshe dreamed about its not this tropeIn some stories the real show is the people attending They come in their finest suits dresses jewels furs and operalength HighClass Gloves often tailored to fit the current styles and by current styles we mean an unwritten Dress Code that sorts out the Old Money patrons from the Nouveau Riche As a consequence the patrons may not even pay attention to most of the show itself which was the case in Real Life until about Richard Wagners day so they can talk and gossip If they are in a private box they may even play cards drink wine eat and even have an amorous dalliance or twoIn some stories this is just to show one or more characters trying to be cultured while other characters are bored to tears When Men Are Uncultured this is an opportunity to demonstrate masculinity by swearing off the flowery show to which their wives have taken them Conversely the more worldly man can take his less sophisticated love interest to the opera to impress and cultivate her Sure enough she is wowed by the glamorous surroundings and mesmerized by the performance while he observes her contently See also Girls Stare at Scenery Boys Stare at Girls,2006
Medium Awareness,Goddammit Deadpool we just fixed the fourth wallStatic panels speech bubbles 72 DPI Im inside a webcomic They will probably mock me like always better get out of here— Sonic the Hedgehog Nerf NOWNo this isnt about when a character realizes theyve met an oracle or pays the usual amount of attentionAudiences are good at figuring out which elements of a work are on which side of the Fourth Wall No explanation is necessary for why our hero can hear his Inner Monologue but not his perspectives Background Music or why the space ship is menaced by the Negative Space Wedgie but not by the opening credits drifting by outside the ship its something we accept as part of our Willing Suspension of DisbeliefIts also a wonderful thing to play with and that is what Medium Awareness does the characters acknowledge and interact with elements and conventions of the medium that shouldnt technically exist inuniverse Suddenly a character can tell how another character is feeling just from the Background Music and reply to the disembodied narration they can read the subtitles at the bottom of your screen and they can tell when its almost time for a commercial breakGenerally this awareness is brief its used for a joke or two and then never mentioned again Used this way its Lampshade Hanging as applied to ParatextMay involve Breaking the Fourth Wall Compare with other metafictional devices particularly Painting the Medium which uses Paratext and artifacts to tell the story and Reading Ahead in the Script which is exactly what it sounds like Left the Background Music On is a specific inversion FourthWall Observer is what happens when a particular character has this on fulltime and the rest do not See also Genre Savvy which doesnt involve the Fourth Wall and No Fourth WallSee also EndofSeries Awareness and Screen Tap specific subtropes,1840
Heroic BSoD,A problem has been detected and Windows of the Soul has been shut down to prevent damage to your brain Well lad the brain be a funny thing Sometimes it just stops workin right when yeve been through a bad scene— Durkon The Order of the Stick Strip 247A stunning revelation or horrible event affects a character or someone they care deeply about leaving them shocked to the point of mentally shutting down for a while analogous to the Blue Screen of Death The effect is similar to passing a Despair Event Horizon but is temporary rather than permanent Alternatively if say this occurs during a fight a hero may have a violent outburst killing Evil Minions and hurling their own companions aside They may run off and have to be tracked down by their friends for Epiphany Therapy Alone in a Crowd typically represents a milder nondisabling form of BSOD a related trope is Heroic Safe Mode wherein the hero defaults to a fight or flight mindset before rebooting in safety A ShellShocked Veteran may have a BSOD in their back storyThe trope name notwithstanding the character suffering a Heroic BSOD may not necessarily be a fullyfledged hero However if something like this happens to a more ambiguous or mundane character it is much more likely to be Played for Laughs or just taken less seriously But a BSOD is never brief or trivial the effect must involve some kind of total mental shutdown to qualify Also an outright villain suffering a similar effect will usually experience a Villainous Breakdown often involving them going completely crazy instead of shutting down or a Villainous BSoD whereby they gain a consciencePossible triggers include failing in something crucial such as saving a loved one or being restricted in what you can do to help being betrayed by a close friend being forced to make an impossible choice eg having to choose between using evil methods or laying friends open to attack or being hit with a Breaking Speech or ArmorPiercing Question Other tropes such as These Hands Have Killed often overlap When the trope is Played for Laughs or used for melodramatic effect the cause can be less substantial deranged behavior from someone supposedly sane seeing something completely surreal or being hit with a Wall of Text sayOther people can attempt to reboot the character Get A Hold Of Yourself Man may work especially in the stories where violence is always the answer as may telling them to Quit Your Whining The best thing that can happen to a hero suffering from a BSOD is meeting a friendly Warrior Therapist the worst thing is meeting a hostile Warrior Therapist as such a foe can ensure that the hero crashes completely driving them over the edge into the Despair Event HorizonEven after regaining some function a BSOD sufferer may evince a ThousandYard Stare or go into 10Minute Retirement In the longer term a hero may become emotionally comatose entering an Angst Coma obsessive and guiltridden mute or in really bad cases a jaded violent amnesiac A really longterm BSOD would be catatonia Go Mad from the Revelation is the worst case Those who remain functional but dont find a cure for the problem may eventually find Safety in Indifference or Emotion Suppression other people may fear that they have become a Fallen HeroComedy and melodramatic uses of the trope such as a film or game reviewer having a Critic Breakdown are far less likely to lead to longterm problems the character simply snaps back after a few minutes A character in a slapstick comedy show may be thrown into several blue screens in one episode as a Running GagIf opponents discover a characters BSOD trigger they may employ it as a weapon — although if they overuse it the victim may wise up and seek treatment Even comedy characters can find that a BSOD leads to Character Development marking the start of a series of new experiences or causing them to revise their worldview Hope Is Scary is a frequent reaction to the beginning of recovery for any character Hes Back often marks a characters full recovery perhaps accompanied by a No More Holding Back Speech Conversely a character who never recovers has fallen over the Despair Event HorizonCompare Heroic RRoD the physical equivalent Freak Out and Deer in the Headlights If the character is a sweetheart this trope can be the end result of Break the Cutie One common reaction is I Think You Broke Him In Real Life psychology this sort of thing is known as an acute stress reaction or a mental breakdown and is related to Post Traumatic Stress Disorder If a character goes into the BSOD state because of issues or revelations regarding who or what they are theyre having an Identity Breakdown If a character starts singing about their or someone elses Heroic BSOD then its also an example of BSoD Song Can result if the hero finds out their close friend Died in Ignorance to a significant truthThe trope is named in honor of the infamous Microsoft Windows error that indicates that the system has screwed itself big time the technical term is stop error A particularly literal version could involve a character preferably a supercomputer or other Artificial Intelligence literally displaying a Blue Screen Of DeathIndividuals afflicted with this trope are often seen exhibiting the classic ThousandYard Stare with its blank emotionless expression and unfocused empty eyes,5332
Im a Humanitarian                    aka I Am A Humanitarian,Im having an old friend for dinnerFor whats that sound of the world out there That crunching noise thats pervading the air Its man devouring man my dear— And who are we to deny it in here— Sweeney Todd Sweeney Todd The Demon Barber of Fleet StreetIf a vegetarian eats vegetables what does a humanitarian eatNo this trope is not about humanitarianism Quite the opposite in factCannibalism is considered one of the greatest taboos so naturally its become a trope One idea which stands out is that human flesh is superficially similar to swine flesh hence the nickname long pig and the phrase eating the long porknote Its also sometimes called the other white meat but it is in fact red as all mammalian meat is A robot designed to taste wine corroborates this idea Thus it should be delicious which is reflected both in Hannibal Lecters gourmet tastes and in the idea in Sweeney Todd that pies with this ingredient would sell like hotcakes Or hot piesYoull often have people eat something and not know what it is and then discover the ghastly truth such as in many an Inn of No ReturnA mostly Discredited Trope is a variation that portrays members of nonEuropean societies as cannibalistic often attempting to cook visiting Europeans in a pot See Cannibal Film for the Exploitation subgenre based on thisPostapocalyptic fiction may depict a bleak future in which starving survivors prey on each other for food In some postapocalyptic works society is divided into cannibals and noncannibalsIn Speculative Fiction cannibalism is generally extended to include eating any sapient creature even if they arent technically eating their own species Any species that includes humans or other humanoids in its diet is usually portrayed as villainous as is any species that routinely eats members of its own social group Likewise humans treating other sapient species as food are rarely treated sympathetically unless What Measure Is a NonHuman is in effect If an alien or monster race make a practice of eating their own as well as or instead of humans then we have a case of Monstrous CannibalismTo various degrees anthropophagynote This term and related ones are technically more appropriate than cannibalism for a nonhuman species that eats humans Its actually more common for works to get this wrong than for them to get it right possibly because Greek is no longer commonly taught and therefore anthropophage just doesnt have that same frisson of terror that cannibal does is usually expected of Zombie MooksIf the cannibal systematically hunts down people on a regular basis so they can eat them theyll be a Serial Killer as wellBecause cannibalism is such a heavy taboo in most cultures someone who willingly engages in the practice will usually be treated as having crossed the Moral Event HorizonAs an interesting side note for tropers living in the United States of America only 16 of the 50 states have laws that explicitly make eating other people illegal The other 34 tend to handle such cases under the purview of laws dealing with desecration or molestation of dead bodiesA SubTrope of I Ate WHAT and Human Resources Can also involve Carnivore Confusion without anthropomorphic animals or maybe with them — see the paragraph on Speculative Fiction above See To Serve Man for when aliens and monsters find us tasty Picky People Eater and Brain Food is for those not interested in mere muscles See also Lets Meet the Meat Compare No Party Like a Donner Party for when persons are forced into cannibalism due to starvation or The Secret of Long Pork Pies for when someone is unknowingly tricked into it When you get down to the bitter dregs theres Autocannibalism Also see Fattening the Victim for when people are fattened before being eatenNote that this trope applies to nonhumans who are sapient or otherwise capable of independent thought or communication even if they only eat their own kind Likewise this trope is not about anyone eating humans Its about cannibalismInteresting note In many cultures this is actually the primary method of funerary rites done either under the logic that the dead will be able to live on in their loved ones or simply to make use of a perfectly good hunk of meat that no longer happens to be a person with rights depending on the culture in question,4288
News Travels Fast,How is Anger already reading a newspaper about No Dessert before Rileys dad said anything about itWhat happened down in the dungeons between you and Professor Quirrell is a complete secret so naturally the whole school knows— Albus Dumbledore Harry Potter and the Philosophers StoneWhen the hero accomplishes a task or a goal or inversely does something embarrassing everyone they encounter immediately afterwards will already be aware of the event Even if the accomplishment only occurred moments prior and there are no visible means for the character to learn of the incident they will praisechastise the hero right away Primarily a video game trope in the interest of Gameplay and Story SegregationWhen a misdeed is immediately acknowledged by characters that couldnt have seen it turning hostile or giving you bad karma at sight or somehow influencing your gameplay rather than the story it is instead The AllSeeing AI although the two tropes could overlapSubTrope of Famed in Story,986
Invoked Trope,Jigsaw Drop the gun Mr Luger Luger I dont have one Jigsaw Youre not carrying a weapon Luger I dont believe in them Jigsaw kicks over a pistol Jigsaw Pick up the gun Luger picks up the gun Jigsaw Drop the gun Mr Luger— Loaded Weapon 1The writer brings a narrative trope into play by having a character consciously set it upSome methods A Sitcom character tries to stage a Meet Cute between two characters The Heart pulls a Wounded Gazelle Warcry in order to set off a heros Unstoppable Rage A princess gets herself kidnapped in the hope of a Rescue Romance A villain relies on how heroes act for his Batman GambitGenre Savvy and Wrong Genre Savvy characters may demonstrate their familiarity with narrative conventions by invoking a tropeCompare Exploited Trope not making the trope happen just taking advantage of one happening Contrast Defied Trope Discussed Trope This is not the same as an Intended Audience Reaction Only a character can invoke a trope an author per se cannot,979
Parodied Trope                    aka Parodied,Sometimes its just fun to make fun of a trope Its fun to screw around with it or find the humor in those tropes Thus we have the Parodied TropeWriters can even spoof their own tropes as a form of SelfDeprecationSometimes this comes in the form of an Exaggerated Trope or even a Downplayed Trope Sometimes it overlaps with ZigZagging Trope Inverted Trope Averted Trope or Subverted Trope if the context makes it clear the aversion or subversion is a joke If the trope is called on by the author but still used its a Lampshade HangingCompare other kinds of Playing with a Trope SatireParodyPastiche Parody Played for Laughs Spoof Aesop,633
Interrupted Suicide,But on this night no one was forgottenleast of all by those who had promised to save others from despairThe living are not done with you yet— TChallaBlack Panther Captain America Civil WarA character is about to commit suicide and is stopped by somebody else Just in Time sometimes thanks to the suicide note Especially with bridges and building ledges You can expect the Interrupter to be Talking Down the Suicidal but not alwaysRegularly subverted Any character standing on a ledge is mistaken for a jumper Another subversion rather more cruel is when somebody else shows up Just in Timebut fails to prevent the suicide and has to witness it instead,651
Vacation Episode,Ethel how do you say Were from Queens in BritishJames Lipton In that picture Kellys grandfather invites the entire gang to Hawaii for summer holiday Dustin Diamond Yes The thing about that— James Lipton interrupting They expect a marvelous time at the beach sans Mr Belding They arrive and discover Mr Belding is there as well dont they Dustin Diamond Yes Yes he is cracking up They didnt think he was gonna be there but he is Thats the twist part laughs— Saturday Night Live sketch Inside The Actors Studio  Saved by the Bell Hawaiian StyleIn an ongoing series that normally takes place in a few fixed locations the Vacation Episode is a oneoff episode where the characters leave their familiar grounds for a welldeserved rest The vacation will invariably be set in a faraway and exotic location for maximum impact given the higher costs of shooting on location the episode will often be longer than usual to make best use of the budget A Special Guest or three might also be included Expect some jokes at the expense of the city country or people visited targeting National Stereotypes funny foreigners or a Culture Clash between our protagonists and the foreigners When jokes are made at the expense of the protagonists own nation or culture its My Country Tis of Thee That I StingMay overlap with other types of episodes depending on the destination for instance a Vacation Episode to Hawaii will inevitably also be a Beach Episode It may also turn out to be a Busmans Holiday Occurs in lots of anime often as a Beach EpisodeAlso see Christmas Episode Beach Episode Road Trip Plot Hot Springs Episode SkiResort Episode Camping Episode Cruise Episode and the Episodes index Parent trope to Viva Las Vegas Add Horror and it becomes a Deadly Road Trip While in another country the characters may be there for a mission a task a quest or a search Watch for the Eiffel Tower Effect where the background just so happens to show off an iconic local landmark,1954
Leaning on the Fourth Wall,Ash Do you think I could do a show with all of my Pokémon Misty A live stage show Ash No a television show Misty Who would watch something like that— Pokémon The Series Flower PowerBob Hey Alice have you ever noticed how sometimes a character will talk to another character about something that sounds like its really about the show theyre in but it makes perfect sense in contextAlice Yeah Usually it sounds strained because its hard to make this kind of dialogue sound completely naturalBob But if they can pull it off its usually good for a bit of comedyAlice This might be related to Lampshade Hanging This Is the Part Where Conversational Troping or any other trope with Fourth Wall in its nameBob You mean like Fourth Wall Psych What about Aside Glance The inverse would be This Is Reality Common subtropes are Diegetic Soundtrack Usage and Who Would Want to Watch Us wait why are we talking like this,907
Bad Boss,As you can see being Overlord to such a band of minions requires a kind and gentle touchEvery day the sharks are fed at least two employees who had incurred the displeasure of the president— Garrison Keillor A Prairie Home CompanionAn Evil Overlord Diabolical Mastermind Corrupt Corporate Executive or other villain or Jerkass character establishes just how bad they are by callously mistreating their own henchmen sometimes outright maiming or killing them — not just for failures that werent their fault but simply because somebody blew their nose too noisily or to remind them whos the biggest baddest sonofabitch there or because they were in a bad mood or in many cases absolutely no reason whatsoever beyond exercising dominance andor entertaining themselves And sometimes a boss might just be so powerful compared to its minions that it mows them down entirely unawareWhy anyone goes on working for them is unknown Their behavior sometimes breeds usurpers andor annoysscares off their mooks into joining the winning or at least less dangerous side but sometimes it has no effect and sometimes youre left wondering why anyone would work for them in the first place They may have simply Signed Up for the Dental though often its just that they are even more terrified of what the boss would do to them if they dared to quit Of course this may be one reason why villains dont win nearly as often as heroes do after all a companyboss that mistreats their employees doesnt tend to be as successful as one that respects themNever ever ever try With Due Respect on a Bad Boss — many of them do not take criticism well if at allThe Weasel CoWorker has an unusually high chance of getting away with his lies under him which may be why he works for himIn some cases its not the Big Bad but a more vague force of evil that slaughters its own For those cases see Artifact of DeathSee also Disposable Intern Drill Sergeant Nasty General Failure General Ripper George Jetson Job Security I Will Punish Your Friend for Your Failure Make an Example of Them Mean Boss MistreatmentInduced Betrayal Mook Depletion PointyHaired Boss Prima Donna Director Shoot the Messenger Villainous Demotivator Weakness Is Just a State of Mind We Have Reserves You Have Failed Me You Have Outlived Your UsefulnessNot related to That One Boss or to any other Boss Battle trope Contrast with Benevolent Boss who is often the Hero and Foil and Mean Boss who is just an asshole to their employees rather than pure evil If theyre also in charge of the government they will also be The Caligula and treat their citizens like how they treat their mooks,2618
Nice Job Breaking It Hero,Congratulations Mickey youve just created The Blot Now just wait until you try to fix your mistakeHow kind of you to open that lock for me Every time I wonder if it was wise to let you live you do something like this and show me youre worth keeping around— Thot Trel Star Trek OnlineThe hero has accomplished their goal theyve killed the Big Bad or defeated them forever or at least scored a major blow against the antagonist Theyve done what they set out to dobut not so fast It turns out that by the very act of success theyve unwittingly made things worse Maybe the nowdead antagonist was actually holding back an even greater evil Maybe the villain having been defeated or damaged is now transformed into a new ultimate unstoppable invincible angry form often against the villains will Maybe the villain despite their villainy was serving some other greater good  keeping the worlduniversenaturewhatever politically or literally balanced  and their demise throws things into chaos Maybe the socalled villain was actually a Hero Antagonist and you just unwittingly handed a huge victory to the real villain Maybe that princess you saved is a coldhearted tyrant at the head of an oppressive regime or even a Sealed Evil in a Can Perhaps taking down the villain has resulted in an Evil Power Vacuum and now even worse guys are fighting to fill the void that the previous villain left causing even more havoc than that previous villain could have ever dreamed Or perhaps the only means of foiling the villain involves questionably massive collateral damage and is so extreme that the hero is now the worst example of He Who Fights Monsters My God What Have I Done or FullCircle Revolution For whatever reason the heros victory over death and destruction directly or indirectly leads to an even greater wave of death and destruction or something else that puts a Downer Ending spin on everything Oh dearMaybe the villain themselves will warn the hero about the possible consequences as a lastditch attempt to save their own skin or as a bitter parting shot to ruin the heros victory You fools do you even know what youve done Villains being villains this may just be a bluff Or maybe the villain will just lament over how the hero defeated them despite all their efforts  it wasnt some sort of plan of theirs for the hero to win and thus make things worse if it was thatd be My Death Is Just the Beginning Then again Poor Communication Kills often comes into play as the villain will usually be uselessly vague and give no concrete reason for why foiling him would be bad On the other other hand a clear warning might be taken as Cassandra Truth anyway You cant winIf the mission was a rescue it was an Unwanted Rescue and the former captive may bitterly inform them of the true factsIn most cases of course the hero will take full responsibility for their actions and be haunted by them horribly traumatized Now their new mission is to stop the new danger theyve unleashed preferably in a way that doesnt spawn ever greater menaces Darker plotlines may end the story right there instead and its always possible the villains demise inadvertently resulted in the irreversible destruction or horrifying mutation of the world If used excessively this trope often leaves an audience with a sense that the hero shouldnt have tried to change things for the better and indeed shouldnt have even left home Can also be a moral about getting seriously involved in things without learning much about themThis trope can be annoying in video games as oftentimes Stupidity Is the Only Option particularly in the case of a MacGuffin Delivery Service It is not particularly fair to try to make the player feel guilty about a course of action they had no control over and indeed mightve gotten a Game Over if they attempted to not fulfill the objectives in questionThe term Pyrrhic Victory has the same connotation and originated from the Pyrrhic War fought by King Pyrrhus in 279 BC which makes Nice Job Breaking It Hero Older Than Feudalism The tropes overlap but Pyrrhic Victory is when someone succeeds at their goal with a very high price while Nice Job Breaking It Hero includes actions that might not be necessary or even intentional In addition this trope sometimes results in no victory at all not even a Pyrrhic oneSometimes a badly thoughtout plot for the sake of action has exactly the same effect when Fridge Logic catches its tail Thats one of the reasons why a good Game Master habit is writing the plot starting from the what happens if Player Characters arent here at all or do nothing pointThis trope is a common problem with the Small Steps Hero Compare Create Your Own Villain What the Hell Hero Unwitting Pawn Must Make Amends You Already Changed the Past Two Rights Make a Wrong Nice Job Fixing It Villain but note that villains are also subject to this trope  they can do something careless that screws them over or helps out a worse villain Compare We Want Our Jerk Back when the herovillain makes the villainhero powerless only to have it backfire and give them a worse villainherofate than expected resulting in them wanting things to go back the way they were Better the Devil You Know is a similar situation where the utter defeat of one villain can lead to a completely different and greater evil taking over This trope may lead to a Redemption Quest in an attempt to make up for the mistake Has very little to do with Nice Job Breaking It Herod in fact that one usually leads to the biggest cases of the complete opposite TropeHitlers Time Travel Exemption Act in certain cases is a SubTrope of this See also Had to Come to Prison to Be a Crook which is this as applied to a legal system Or at least a wellintentioned one May overlap with SelfFulfilling Prophecy No Endor Holocaust is what happens when this is ineptly averted And if the hero dies following the reveal and is unable to stop the new menace youve just read a Shoot the Shaggy Dog story Despite obvious parallels most LoadBearing Boss in video games do not fall under this category When this happens with fandoms its Why Fandom Cant Have Nice Things Pacifism Backfire is Nice Job Sparing Him Hero Compare Tragic MistakeIt frequently overlaps with No Good Deed Goes UnpunishedNo reallife examples are allowed Truth in Television as it is and for that you have no one to blame but yourselvesThis trope usually involves a plot twist so beware of unmarked spoilers,6439
Maurice Chevalier Accent,FYI Avoir le cafardnote to have the cockroach is an idiom meaning feeling depressedWe do not even have a language Just a stupid accent Shes right We all talk like Maurice Chevalier Honhonhon— Mel Brooks History of the World Part IActor and singer Maurice Chevalier was the first French entertainer who became an international superstar after he moved to Hollywood His fame and long career made him the most famous and easily recognized Frenchman of the 20th century So whenever comedians or even serious actors had to portray an archetypical Frenchman they imitated Chevaliers voice which had a heavy French accent A Stock Parody that is still in vogue today even though most comedians and audiences have no idea where this stereotype originated fromThe Maurice Chevalier accent is a typical Funny Foreigner subtrope especially whenever a story is set in France All these French characters talk in the same way the and this are pronounced zee and zis The w is pronounced ooweee Some Gratuitous French words mais oui sacrebleu zut alors mon ami or mon chéri are used nonstop Theres often a grotesque emphasis on the final syllable of the last word in a sentence for instance Zis is veiry importààààààànt Chevaliers iconic hon hon hon Signature Laugh has also become the standard way Frenchmen laugh in Englishspeaking fictionNowadays the Maurice Chevalier Accent is used to voice many French characters in Englishspeaking media In comedy and animation this can be amusing but in serious stories it becomes Just a Stupid Accent and can really take you out of the story because it literally becomes ridiculous Poirot Speak In fact whenever a comedic accent is needed you can rest assured that it will usually be French It gets to the point of overkill Sometimes like in the movie Shrek where the British character Robin Hood inexplicably speaks English with a French accentnote This may be explained by the fact that Robin Hood was a Norman people are depicted as being French for no apparent reason other than evoking laughs while using the accentThe accent is a bit Truth in Television for most Frenchmen whose English is not yet that fluent though everyone who tries to speak a language that isnt his own will have problems mastering it Ironically enough even Maurice Chevalier himself lost his native accent after a while and sounded more like a normal English speaking man Only in his early Hollywood years it was very rusty but he also played it up for the microphone and cameras because he was usually typecast as the archetypical Frenchman and thus had to sound like an authentic Frenchman who didnt speak English that fluentlyAlmost always applies for people who live in Gay Paree Compare with Mock Cousteau whenever a scene takes place underwaterIt may be worth pointing out that this trope is even more unrealistic when the French speaker in question is from Quebec Québécois Francophones have markedly different accents in English than people from France for example th tends to be alveolarized turning this thing into dis ting rather than zis sing Giving a Quebec character this accent as some films and movies have piles Cultural Blending on top of it especially if the character is also supplied with a beret Gauloises etcnote Obviously you can meet people in Quebec with a France French accent  lots of people from France have moved there especially in recent years  but not people culturally from Quebec,3420
Police Are Useless,Hitting on a girl while people shoot at each other is definitely the responsible thing for a cop to doCriminals are stupid and Im always one step behind them— Officer Don 3rd Rock from the SunWhenever someone in film or on TV reports a murder or a monster or a stalker or whatever the police come as close to ignoring them as procedure and the local captain will allow And thats if the report is from a respected professional if theyre an Agent Mulder or worse yet a teenager the cops might try to pin charges on themIn addition to police this trope also covers the security guards watchmen the coast guard depending on whether they are given such powers under a civilianmilitaryparamilitary structure and other people whose job is to protect othersnote Or arrestpunish lawbreakers in an official capacity In childrens shows it is related to Adults Are Useless They might not even make it to the police station but just correctly assume that no one would believe themThe usual reason for this trope is that the story would take a boring turn if the cops turned up within 10 minutes and solved the problem Having an Amateur Sleuth story is only possible if the police cant quite get the job done There wouldnt be anything left for the amateur to do if the police solved everything otherwise In such stories the police the amateur has to deal with will be at best an Inspector Lestrade and at worst an Obstructive Bureaucrat Interestingly the trope tends be averted in police comedies because audiences may feel uncomfortable laughing at a police force that lets the bad guys get away So police comedies may feature blundering cops but they will still catch the bad guys in the end Furthermore a Cop Show or Police Procedural will avert this trope more often than notA common interpretation of this trope is merely people not knowing how law enforcement actually works — this was part of why Police Quest was considered one of the most realistic games at the time it was made because you actually couldnt just take what you thought was the obvious solution because it was either illegal incredibly dangerous or both Even law enforcement has to follow the law despite some exceptions and what those games of cops and robbers may tell you Many times the most obvious solution is actually a pretty good way to get yourself or others hurt or killedThe Awful Truth is this happens in real life Police are more often than not just everyday people who want to get through their jobs yet have to maintain very high standards when carrying out their work Police going after the wrong guy Everyone will find themselves wanting to take shortcuts at work In policing a shortcut would mean pinning a crime on the guy right in front of you rather than to try and catch the real bad guy who could be anywhere Also a lot of police departments measure officer performance by the number of arrests they have made and actions they have done That can give incentives for officers to arrest the wrong guy or avoid doing things to prevent crime which is generally agreed to be better than cleaning up after it This can be portrayed sympathetically protagonist is convincingly framed by the real villains as well as negatively Police being corrupt If criminals like Al Capone can bribe their way out of arrest chances are theyre not much use Police being prejudiced If prejudice exists in a society it probably exists in the police This is a problem in many countries with victims of Profiling and Police Brutality most often being those the cops are prejudiced against This may overlap with lazy in cases where the police simply blame the usual suspects from the disliked group rather than put any real effort into investigations Police being lazy This image is common in the United States where every town has to employ its own officers and therefore have enough to respond on a busy day Some things police do in Real Life understandably seem lazy or useless to outside observers too when they actually arent — like sitting in their car eating donutsnote as anyone who has worked any security can tell you this is a side effect of having a job where most of it is waiting for something to happen as opposed to jobs where earning money is dependent on action or a crowd of them arriving and standing around for a simple traffic stop — you cant like a quiet day at your job send police home just because no one is breaking the law — they still may be needed at a moments notice The police arent allowed to help Call the police is not a viable solution to every problem There are rules defining what the police can and cannot do and breaking those rules will at best lead to the police being chewed out by a judge while the person they took action against is let go And if the police refuse to intervene in what is really a petty dispute between two citizens rather than a serious crime you will be getting chewed out instead They have more important things to do than act as your personal hall monitors after all Police being underfunded or overworked On the flipside another common image is that the police are so busy and understaffed that they cant effectively deal with crime Some places have police forces that definitely suffer from chronic underfunding and even wellfunded ones are never really satisfied with the level of funding and resources they have In the United States cops can be portrayed as being both lazy or overworked In sparsely populated small towns chances are greater that the police arent numeroustrainedequipped enough but this is sometimes true of even bigcity law enforcement who have to deal with a lot of stuff on a daytoday basis Police being hopelessly outmatched The criminals are just too much for the police to handle Perhaps organized crime is effectively in charge perhaps society is breaking down and nobody is really in charge perhaps the setting is one where some of the criminals are monsters evil wizards zombies supervillains etc On a more normal level it can be as simple as that the criminals are better equipped and armed than the police which does sometimes occur in real life toonote One example would be the North Hollywood shootout in 1997 where two bank robbers in full body armor and armed with automatic weapons got into a shootout with police mostly without armor and armed with only 9mm38 pistols that lasted over a half hour and saw over 2000 rounds exchanged because the pistol rounds werent enough to take down the robbers This incident along with the 911 attacks and a huge surplus of military equipment is why many police departments are now as well armed as an infantry unit and why many police now keep an AR15 style rifle in their patrol car Police being generally incompetent And of course finally some are just standardissue bumblers Also eating all those donuts could be making them braindead sleepy and too obese to actually be of any use But thats America for you In some cases the police just dont bother intervening with crime because they find it boring Police work for the criminals Often the police are actually The Dragon to the villains of the story Police are the villains Here youre really in trouble as the police or some of them at least are themselves the bad guys While honest cops in the story may exist as well youll probably have a difficult time convincing them of what has been going on or proving it legally especially as the villains will doubtless use their own status and knowledge to get away with any crimes theyve committed There are no police the bottom line None think the police could help because either the police is REALLY not there or the characters will assume its normal for them to ignore the police and just carry on with the story Sometimes one or some of the aforementioned reasons are vaguely or insufficently implied and thats itSee also The Only One and Bad CopIncompetent Cop though they are not necessarily incompetent it may just be that the calls are too nonsensical to be believed by someone who doesnt know theyre in a show You Have to Believe Me occurs when the police dont believe the person because the person is presenting their case in a fashion where no reasonable person would believe them No Police Option is a more realistic spin where the police arent allowed to resolve the problem even if they do believe the person whos asking for their help Lawful Pushover and Lemming Cops are other related tropes Contrast I Fought the Law and the Law Won as well as The Men in Black who do believe your reports of ghostsmonsterswhatever and probably know more about them than you do but are still bad news and Militaries Are Useless when the authorities from the military side do try to help but fail for dramatic tension and The Lopsided Arm of the Law where the police withholds its competency and firepower with little if any explained reason until someone tries to take the law into their own hands and then they unleash said resources to hunt them and only them down If the police are lazy this trope can overlap with Lethal NegligenceFor the complete opposite see Police Brutality though they can easily be combined — Bad CopIncompetent Cop being one example where some cops are brutal and some are useless and some are both and cops who are brutal but also useless — as in the people they beat up and kill are innocent while real criminals escape because they know how to look like they play by the rules When its police driving ability thats in question see Hollywood Police Driving Academy Subtrope of Artistic License  Law Enforcement,9535
